Id,date,text_es,valid,tone,referred_to,text_es_clean
559461553859485697,2015-01-25,"@Juan_Florez Hola Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"Juan_Florez Hola Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559461292642430976,2015-01-25,"@ELTIEMPO Hola, Matriculas,asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones. ",0,,,"ELTIEMPO Hola, Matriculas,asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones. "
559461111473635329,2015-01-25,"@UnicentroBogota  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"UnicentroBogota  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559460999498330113,2015-01-25,"@BogotaenBici HolaMatriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"BogotaenBici HolaMatriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559460794325565440,2015-01-25,"@Anna_Mile Hola, Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"Anna_Mile Hola, Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559460198142984195,2015-01-25,"@plandecompra  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"plandecompra  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559460069650481152,2015-01-25,"@SurtidoradAves  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"SurtidoradAves  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559459960028164099,2015-01-25,"@LuchoMalambo  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"LuchoMalambo  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559459704595030016,2015-01-25,"@DespegarAr Hola, Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"DespegarAr Hola, Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559459140217896960,2015-01-25,"@ararubiano4 Hola,Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"ararubiano4 Hola,Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559457688011411456,2015-01-25,"@flavia2santos  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"flavia2santos  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559457128034095104,2015-01-25,"@DiaaDiaCaracol  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"DiaaDiaCaracol  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559456982739206145,2015-01-25,"@TitanesCaracol  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"TitanesCaracol  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559456881593577473,2015-01-25,"@DANE_Colombia  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"DANE_Colombia  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559456730611200000,2015-01-25,"@soyDORACARDONA Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"soyDORACARDONA Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559456490579558401,2015-01-25,"@los40colombia  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"los40colombia  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559456343774728192,2015-01-25,"@SergioGrandasM Matriculas,asesorías migración Canadá apoyo psicológico sin costo. Aplicancondiciones restricciones. ",0,,,"SergioGrandasM Matriculas,asesorías migración Canadá apoyo psicológico sin costo. Aplicancondiciones restricciones. "
559454619915808768,2015-01-25,"Buena tarde,Matriculas,asesorías para migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"Buena tarde,Matriculas,asesorías para migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559453267978358785,2015-01-25,"@Chapi_GAY  Matriculas,asesorías para migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones. ",0,,,"Chapi_GAY  Matriculas,asesorías para migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones. "
559453085664550913,2015-01-25,"@JoLoBue  Matriculas,asesorías para migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones. ",0,,,"JoLoBue  Matriculas,asesorías para migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones. "
559450706856673280,2015-01-25,"@OrgulloLGBT Matriculas,asesorías para migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,"OrgulloLGBT Matriculas,asesorías para migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones "
559450288118333441,2015-01-25,"@carlitosvargasm Matriculas,asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones ",0,,,"carlitosvargasm Matriculas,asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones "
559449894818430976,2015-01-25,"@carogomezfilm  Matriculas, asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones ",0,,,"carogomezfilm  Matriculas, asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones "
559449596603400193,2015-01-25,"@lasillavacia  Matriculas, asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones. ",0,,,"lasillavacia  Matriculas, asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones. "
559449310145019904,2015-01-25,"@AntanasMockus  Matriculas, asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones ",0,,,"AntanasMockus  Matriculas, asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones "
559449183946809344,2015-01-25,"@karenolaya7  Matriculas, asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones. ",0,,,"karenolaya7  Matriculas, asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones. "
559448879100616704,2015-01-25,"@lagordafabiola Matriculas, asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones ",0,,,"lagordafabiola Matriculas, asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones "
